Frame,Score,Motion,People,Level
0,0.05,0.0,0,Normal
1,0.05,0.0,6,Normal
2,0.05,0.0,6,Normal
3,0.7,0.0,6,Medium
4,0.73,0.062338562449686157,6,High
5,0.73,0.05916732776445265,6,High
6,0.73,0.05374844957315147,6,High
7,0.76,0.11050573470916805,6,High
8,0.73,0.06188486200782821,6,High
9,0.73,0.050732842898330945,6,High
10,0.72,0.046986218428112826,6,High
11,0.71,0.018915671213504032,6,High
12,0.71,0.02299356281456889,6,High
13,0.77,0.14710100230643489,6,High
14,0.72,0.047192305107689445,6,High
15,0.9,0.3910082615328851,6,High
16,0.65,0.007161309092275184,5,Medium
17,0.05,0.0,5,Normal
18,0.05,0.0,5,Normal
19,0.7,0.0,6,Medium
20,0.05,0.0,6,Normal
21,0.05,0.0,6,Normal
22,0.65,0.0,5,Medium
23,0.67,0.03794840473540131,5,Medium
24,0.74,0.1878292600155897,5,High
25,0.05,0.0,5,Normal
26,0.05,0.0,5,Normal
27,0.05,0.0,5,Normal
28,0.05,0.0,5,Normal
29,0.65,0.0,5,Medium
30,0.05,0.0,5,Normal
31,0.05,0.0,5,Normal
32,0.05,0.0,5,Normal
33,0.05,0.0,6,Normal
34,0.05,0.0,7,Normal
35,0.05,0.0,6,Normal
36,0.05,0.0,6,Normal
37,0.05,0.0,6,Normal
38,0.05,0.0,6,Normal
39,0.65,0.0,5,Medium
40,0.05,0.0,5,Normal
41,0.05,0.0,5,Normal
42,0.05,0.0,5,Normal
43,0.05,0.0,4,Normal
44,0.05,0.0,4,Normal
45,0.05,0.0,5,Normal
46,0.05,0.0,5,Normal
47,0.65,0.0,5,Medium
48,0.66,0.021608012957617422,5,Medium
49,0.67,0.03797810965974916,5,Medium
50,0.05,0.0,5,Normal
51,0.05,0.0,5,Normal
52,0.05,0.0,5,Normal
53,0.05,0.0,5,Normal
54,0.05,0.0,5,Normal
55,0.65,0.0,5,Medium
56,0.72,0.14636053382987127,5,High
57,0.65,0.008713626363720473,5,Medium
58,0.67,0.03847747292570841,5,Medium
59,0.05,0.0,5,Normal
60,0.05,0.0,5,Normal
61,0.05,0.0,5,Normal
62,0.05,0.0,5,Normal
63,0.05,0.0,5,Normal
64,0.05,0.0,5,Normal
65,0.05,0.0,6,Normal
66,0.05,0.0,6,Normal
67,0.05,0.0,6,Normal
68,0.05,0.0,5,Normal
69,0.05,0.0,6,Normal
70,0.05,0.0,5,Normal
71,0.05,0.0,6,Normal
72,0.65,0.0,5,Medium
73,0.05,0.0,5,Normal
74,0.05,0.0,5,Normal
75,0.05,0.0,4,Normal
76,0.05,0.0,2,Normal
77,0.05,0.0,2,Normal
78,0.05,0.0,2,Normal
79,0.05,0.0,1,Normal
80,0.05,0.0,0,Normal
81,0.05,0.0,0,Normal
82,0.05,0.0,0,Normal
83,0.05,0.0,3,Normal
84,0.05,0.0,3,Normal
85,0.05,0.0,3,Normal
86,0.05,0.0,3,Normal
87,0.05,0.0,3,Normal
88,0.05,0.0,3,Normal
89,0.05,0.0,3,Normal
90,0.05,0.0,3,Normal
91,0.05,0.0,3,Normal
92,0.05,0.0,3,Normal
93,0.05,0.0,3,Normal
94,0.05,0.0,3,Normal
95,0.05,0.0,3,Normal
96,0.05,0.0,3,Normal
97,0.05,0.0,3,Normal
98,0.05,0.0,3,Normal
99,0.05,0.0,3,Normal
100,0.05,0.0,4,Normal
101,0.05,0.0,4,Normal
102,0.05,0.0,3,Normal
103,0.05,0.0,3,Normal
104,0.05,0.0,3,Normal
105,0.05,0.0,3,Normal
106,0.05,0.0,3,Normal
107,0.05,0.0,3,Normal
108,0.05,0.0,3,Normal
109,0.05,0.0,3,Normal
